Store_ID,Store_Name,City,Country,Region
ST-54,Apple Bondi,Bondi,Australia,Oceania
ST-53,Apple Brisbane,Brisbane,Australia,Oceania
ST-56,Apple Southland,Cheltenham,Australia,Oceania
ST-52,Apple Chadstone,Melbourne,Australia,Oceania
ST-55,Apple Highpoint,Melbourne,Australia,Oceania
ST-51,Apple Sydney,Sydney,Australia,Oceania
ST-20,Apple Kaerntner Strasse,Vienna,Austria,Europe
ST-50,Apple Metrotown,Burnaby,Canada,North America
ST-48,Apple Sainte-Catherine,Montreal,Canada,North America
ST-47,Apple Rideau Centre,Ottawa,Canada,North America
ST-46,Apple Eaton Centre,Toronto,Canada,North America
ST-49,Apple Yorkdale,Toronto,Canada,North America
ST-75,Apple Beijing SKP,Beijing,China,Asia
ST-37,Apple Sanlitun,Beijing,China,Asia
ST-38,Apple Taikoo Li,Chengdu,China,Asia
ST-40,Apple Causeway Bay,Hong Kong,China,Asia
ST-43,Apple Cotai Central,Macau,China,Asia
ST-36,Apple Nanjing East,Shanghai,China,Asia
ST-35,Apple Shanghai IFC,Shanghai,China,Asia
ST-64,Apple Andino,Bogota,Colombia,South America
ST-63,Apple Parque La Colina,Bogota,Colombia,South America
ST-18,Apple Champs-Elysees,Paris,France,Europe
ST-29,Apple Galeries Lafayette,Paris,France,Europe
ST-19,Apple Opera,Paris,France,Europe
ST-24,Apple Kurfuerstendamm,Berlin,Germany,Europe
ST-25,Apple Schildergasse,Cologne,Germany,Europe
ST-27,Apple Rosenstrasse,Munich,Germany,Europe
ST-22,Apple Piazza Liberty,Milan,Italy,Europe
ST-23,Apple Via del Corso,Rome,Italy,Europe
ST-34,Apple Fukuoka,Fukuoka,Japan,Asia
ST-72,Apple Kumamoto,Kumamoto,Japan,Asia
ST-44,Apple Kyoto,Kyoto,Japan,Asia
ST-33,Apple Marunouchi,Tokyo,Japan,Asia
ST-32,Apple Omotesando,Tokyo,Japan,Asia
ST-31,Apple Shinjuku,Tokyo,Japan,Asia
ST-60,Apple Antara,Mexico City,Mexico,North America
ST-61,Apple Santa Fe,Mexico City,Mexico,North America
ST-62,Apple Via Santa Fe,Mexico City,Mexico,North America
ST-26,Apple Leidseplein,Amsterdam,Netherlands,Europe
ST-45,Apple Jewel Changi Airport,Singapore,Singapore,Asia
ST-42,Apple Orchard Road,Singapore,Singapore,Asia
ST-70,Apple Gangnam,Seoul,South Korea,Asia
ST-71,Apple Yeouido,Seoul,South Korea,Asia
ST-21,Apple Passeig de Gracia,Barcelona,Spain,Europe
ST-39,Apple Taipei 101,Taipei,Taiwan,Asia
ST-41,Apple Central World,Bangkok,Thailand,Asia
ST-65,Apple Iconsiam,Bangkok,Thailand,Asia
ST-57,Apple Yas Mall,Abu Dhabi,UAE,Middle East
ST-30,Apple Dubai Mall,Dubai,UAE,Middle East
ST-59,Apple Mall of the Emirates,Dubai,UAE,Middle East
ST-28,Apple Brompton Road,London,United Kingdom,Europe
ST-17,Apple Covent Garden,London,United Kingdom,Europe
ST-16,Apple Regent Street,London,United Kingdom,Europe
ST-15,Apple Downtown Brooklyn,Brooklyn,United States,North America
ST-3,Apple Michigan Avenue,Chicago,United States,North America
ST-12,Apple North Michigan Avenue,Chicago,United States,North America
ST-10,Apple South Coast Plaza,Costa Mesa,United States,North America
ST-9,Apple Park Visitor Center,Cupertino,United States,North America
ST-14,Apple The Americana at Brand,Glendale,United States,North America
ST-11,Apple Ala Moana,Honolulu,United States,North America
ST-7,Apple Beverly Center,Los Angeles,United States,North America
ST-4,Apple The Grove,Los Angeles,United States,North America
ST-1,Apple Fifth Avenue,New York,United States,North America
ST-6,Apple Grand Central,New York,United States,North America
ST-5,Apple SoHo,New York,United States,North America
ST-13,Apple Walnut Street,Philadelphia,United States,North America
ST-8,Apple Pioneer Place,Portland,United States,North America
ST-2,Apple Union Square,San Francisco,United States,North America
